Age;Depth (cm);Sedimentation rate;Sedimentation rate x 1000;Concentration (grains/cm3) / 1000;picea;betula;pinus;populus;alnus.crispa;alnus.rugosa;juniperus;salix;larix;cyperaceae;ericaceae;myrica;lycopodium;artemisia;poaceae;pediastrum;nuphar;potamogeton;tetrade;saxifragaceae;epilobium.palustris;coptis.trifolia;ambrosia;thalictrum;sparganium;rosaceae;equisetum;chenopodiaceae;scutellaria.galericulata;aster;dryas;brassicaceae;caryophyllaceae;sparganiaceae;sheperdia.canadensis;rubus;cruciferae;ranunculaceae;papaveraceae
4086;203;0.063492063;63.492063;27.51724138;49.62406015;27.91353383;9.77443609;0;3.947368421;3.665413534;0;0;0.563909774;0.845864662;2.537593985;0;0;0.281954887;0;0;0;0.563909774;0;0;0;0;0;0;0;0.31512605;0;0;0;0;0;0;0;0;0;0;0;0;0
4149;207;0.075471698;75.471698;22.65895954;58.36734694;21.73469388;11.32653061;0;2.448979592;2.448979592;0.306122449;0.306122449;0;0.612244898;1.224489796;0;0.306122449;0;0;0;0.306122449;0.306122449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4202;211;0.063492063;63.492063;25.77676538;64.05090138;22.90562036;3.817603393;0;3.817603393;1.272534464;0;0;0;1.272534464;1.590668081;0;0;0.636267232;0.318133616;0;0;0.318133616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4265;215;0.061538462;61.538462;36.47213115;59.22330097;25.88996764;5.501618123;0;4.854368932;1.941747573;0;0;0;0.970873786;0.970873786;0;0.323624595;0;0;0;0.323624595;0;0;0;0;0;0;0;0.277520814;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4330;219;0.064516129;64.516129;44.92075472;64.31451613;18.44758065;5.443548387;0;5.141129032;3.629032258;0;0;0;1.512096774;1.512096774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4392;223;0.064516129;64.516129;29.46086957;40.25974026;40.37780401;3.778040142;0.708382527;6.375442739;3.896103896;0.354191263;0.354191263;0.354191263;0.354191263;1.770956316;0.354191263;0;0.708382527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.326797386;0;0
4423;225;0.0625;62.5;33.55029586;46.03174603;34.6031746;6.349206349;0;9.206349206;3.174603175;0;0;0;0.634920635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.301507538;0;0;0;0;0;0;0;0;0;0;0
4455;227;0.057142857;57.142857;28.6460177;59.3141798;24.74513438;6.487488415;0.278035218;5.560704356;0.278035218;0;0.278035218;0.278035218;0.556070436;1.946246525;0.278035218;0;0;0;0;0;0;0;0;0;0;0;0;0.287356322;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4490;229;0.060606061;60.606061;30.09090909;43.80664653;36.85800604;3.021148036;0;9.365558912;3.021148036;0;1.208459215;0;1.208459215;0.604229607;0;0.302114804;0;0;0;0.302114804;0;0;0;0.277520814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4523;231;0.0625;62.5;33.41176471;55.23138833;25.95573441;9.154929577;0;4.527162978;2.414486922;0;0.905432596;0;0;0.905432596;0;0;0.301810865;0;0;0.301810865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
