DepthTop;DepthBottom;AgeTop;AgeBottom;Volume;Charcoal
241;242;7571;7600;1;1.21
242;243;7600;7630;1;1.33
243;244;7630;7662;1;0.35
244;245;7662;7690;1;3.1
245;246;7690;7716;1;1.45
246;247;7716;7742;1;1.82
247;248;7742;7770;1;0.98
248;249;7770;7794;1;1.74
249;250;7794;7818;1;0.65
250;251;7818;7842;1;0.33
251;252;7842;7868;1;0.97
252;253;7868;7892;1;0.67
253;254;7892;7917;1;0.37
254;255;7917;7942;1;0.31
255;256;7942;7965;1;0.77
256;257;7965;7990;1;0.19
257;258;7990;8017;1;0.32
258;259;8017;8042;1;0.06
259;260;8042;8067;1;0.14
260;261;8067;8091;1;1.17
261;262;8091;8117;1;0.34
262;263;8117;8143;1;0.07
263;264;8143;8170;1;0.1
264;265;8170;8198;1;3.87
265;266;8198;8221;1;0.41
266;267;8221;8245;1;2.05
267;268;8245;8269;1;0.06
268;269;8269;8294;1;0.37
269;270;8294;8318;1;0.05
270;271;8318;8338;1;0.13
271;272;8338;8363;1;1.1
272;273;8363;8396;1;0.05
273;274;8396;8419;1;0.06
274;275;8419;8436;1;1.89
275;276;8436;8453;1;0.36
276;277;8453;8468;1;0.77
277;278;8468;8484;1;0.48
278;279;8484;8500;1;0.23
279;280;8500;8514;1;0.2
280;281;8514;8534;1;0.12
281;282;8534;8553;1;0.15
282;283;8553;8572;1;0.06
283;284;8572;8589;1;0.18
284;285;8589;8606;1;0.1
285;286;8606;8627;1;0.06
286;287;8627;8647;1;0.39
287;288;8647;8668;1;0.16
288;289;8668;8686;1;0.43
289;290;8686;8706;1;0.11
290;291;8706;8726;1;0.02
291;292;8726;8746;1;0.57
292;293;8746;8768;1;0.41
293;294;8768;8788;1;0.3
294;295;8788;8807;1;0.2
295;296;8807;8826;1;0.17
296;297;8826;8846;1;0.5
297;298;8846;8865;1;0.4
298;299;8865;8885;1;0.22
299;300;8885;8905;1;5.07
300;301;8905;8923;1;0.21
301;302;8923;8942;1;0
302;303;8942;8962;1;0.77
303;304;8962;8984;1;1.24
304;305;8984;9004;1;0.2
305;306;9004;9021;1;0.01
306;307;9021;9040;1;0.27
307;308;9040;9060;1;0.21
308;309;9060;9079;1;0
309;310;9079;9097;1;0.05
310;311;9097;9112;1;0.14
311;312;9112;9126;1;0.16
312;313;9126;9141;1;0.43
313;314;9141;9159;1;0
314;315;9159;9178;1;0.13
315;316;9178;9198;1;0.19
316;317;9198;9222;1;0.38
317;318;9222;9243;1;0.25
318;319;9243;9261;1;0
319;320;9261;9278;1;0.04
320;321;9278;9304;1;0.05
321;322;9304;9329;1;1.61
322;323;9329;9353;1;0.33
323;324;9353;9376;1;0
324;325;9376;9398;1;0.17
325;326;9398;9424;1;0.04
326;327;9424;9448;1;0.43
327;328;9448;9473;1;0.07
328;329;9473;9496;1;2.59
329;330;9496;9521;1;0.75
330;331;9521;9545;1;0.22
331;332;9545;9569;1;0.3
332;333;9569;9595;1;0.24
333;334;9595;9618;1;0.34
334;335;9618;9640;1;0.44
335;336;9640;9664;1;0.28
336;337;9664;9691;1;0.62
