age;depth;Sedimentation rate;PAR;Picea;Betula;Pinus;Populus;Alnus.crispa;Alnus.rugosa;Juniperus;Salix;Larix;Cyperaceae;Pediastrum;Ericaceae;Myrica;Lycopodium;Nuphar;Potamogeton;Artemisia;Poaceae;;;;;;;;;;;;;;;;;;;;
2042;249;0.045664207;1928.606799;1290.60282;306.4921075;212.6679929;0;37.52964581;18.76482291;6.254940969;6.254940969;0;0;0;31.27470484;12.50988194;6.254940969;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2079;251;0.04576348;2298.645759;1382.589257;298.8725458;238.1260934;0;247.8455258;14.57914858;7.289574289;7.289574289;14.57914858;43.73744573;7.289574289;21.86872287;0;14.57914858;7.289574289;0;0;7.289574289;;;;;;;;;;;;;;;;;;;;
2115;253;0.045859305;2424.285894;1360.373445;530.7608169;303.6334403;0;57.37954778;78.89687819;7.172443472;7.172443472;7.172443472;57.37954778;43.03466083;14.34488694;0;0;7.172443472;0;0;0;;;;;;;;;;;;;;;;;;;;
2152;255;0.04595186;2695.340502;1417.306708;647.2094214;286.7383513;0;204.813108;24.57757296;0;8.192524322;0;49.15514593;0;40.96262161;0;0;0;0;8.192524322;8.192524322;;;;;;;;;;;;;;;;;;;;
2190;257;0.046041308;795.1041618;490.1204507;195.8693042;47.40216038;2.683141153;26.83141153;5.366282307;2.683141153;5.366282307;2.683141153;5.366282307;5.366282307;2.683141153;5.366282307;0;10.73256461;0;0;2.683141153;;;;;;;;;;;;;;;;;;;;
2229;259;0.046127804;1817.891233;938.5297048;459.0634426;169.3434033;0;128.5377639;24.4833836;6.120845901;12.2416918;6.120845901;36.72507541;0;24.4833836;0;6.120845901;0;0;0;6.120845901;;;;;;;;;;;;;;;;;;;;
2269;261;0.04621149;1381.464403;753.4109255;319.0916861;130.4223955;0;125.3574481;11.39613165;0;0;7.597421098;3.798710549;0;26.59097384;3.798710549;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2309;263;0.046273546;2817.847319;1506.090808;651.5914693;248.633587;17.14714393;248.633587;8.573571964;0;25.72071589;8.573571964;51.44143179;94.30929161;34.29428786;0;8.573571964;0;0;0;8.573571964;;;;;;;;;;;;;;;;;;;;
2389;267;0.046428571;3560.45082;1613.729508;874.1034836;342.5973361;0;633.9651639;76.8442623;0;0;0;9.605532787;0;9.605532787;0;0;48.02766393;0;0;0;;;;;;;;;;;;;;;;;;;;
2472;271;0.046574288;3100.738741;1534.85157;668.6761435;287.7846694;0;507.8552989;25.39276494;0;8.464254981;0;25.39276494;25.39276494;33.85701992;0;0;8.464254981;0;0;8.464254981;;;;;;;;;;;;;;;;;;;;
2547;275;0.04671151;4165.649546;2093.594291;943.409773;443.7041398;12.92342155;478.1665973;38.77026464;12.92342155;12.92342155;0;64.61710774;64.61710774;64.61710774;0;0;12.92342155;0;0;0;;;;;;;;;;;;;;;;;;;;
2627;279;0.046840959;2805.856712;1228.568235;917.4024813;289.7060467;0;249.4690958;32.18956075;0;24.14217056;8.047390187;24.14217056;24.14217056;24.14217056;0;0;24.14217056;0;8.047390187;0;;;;;;;;;;;;;;;;;;;;
2712;283;0.046979866;2684.710779;1270.552155;584.1619102;296.948971;0;372.4032178;21.90607163;0;14.60404776;7.302023878;65.7182149;43.81214327;14.60404776;7.302023878;7.302023878;0;0;14.60404776;7.302023878;;;;;;;;;;;;;;;;;;;;
2798;287;0.047095222;4431.818182;1894.923259;1261.806375;358.6186541;0;730.5194805;66.41086187;0;13.28217237;0;53.12868949;0;39.84651712;0;0;26.56434475;0;13.28217237;0;;;;;;;;;;;;;;;;;;;;
2885;291;0.047220362;2825.7917;1556.530491;633.1649453;266.7500464;8.793957574;272.6126848;43.96978787;0;8.793957574;8.793957574;8.793957574;8.793957574;8.793957574;0;0;8.793957574;0;0;8.793957574;;;;;;;;;;;;;;;;;;;;
2975;295;0.04733921;1681.227863;1176.859504;198.3471074;158.677686;0;73.67178276;17.00118064;0;0;0;28.33530106;11.33412043;11.33412043;0;11.33412043;5.667060213;0;0;5.667060213;;;;;;;;;;;;;;;;;;;;
3060;299;0.047452229;1211.261731;641.9186653;277.7893639;100.1042753;0;116.37122;22.52346194;0;15.01564129;3.753910323;18.76955162;0;11.26173097;0;0;3.753910323;0;3.753910323;0;;;;;;;;;;;;;;;;;;;;
3149;303;0.047559838;1565.968586;848.1675393;334.5549738;175.9162304;0;103.6649215;9.42408377;14.13612565;14.13612565;0;28.27225131;0;23.56020942;4.712041885;0;4.712041885;0;4.712041885;4.712041885;;;;;;;;;;;;;;;;;;;;
3192;305;0.047619048;1662.722422;1034.806099;221.0265455;170.7932397;0;180.8399009;5.02333058;0;0;0;20.09332232;0;25.1166529;0;0;10.04666116;0;5.02333058;0;;;;;;;;;;;;;;;;;;;;
3229;307;0.04767689;1550.998948;560.26551;497.8312303;147.8706625;4.929022082;236.5930599;44.36119874;4.929022082;0;0;34.50315457;0;4.929022082;4.929022082;4.929022082;0;0;4.929022082;0;;;;;;;;;;;;;;;;;;;;
3271;309;0.047733413;1817.872949;769.1809239;485.4666487;254.2920541;12.60952334;233.2761818;12.60952334;6.304761671;12.60952334;0;12.60952334;0;18.91428501;0;0;25.21904669;0;0;0;;;;;;;;;;;;;;;;;;;;
3308;311;0.047788661;1187.530925;790.051566;180.3378575;84.64838207;3.680364438;55.20546657;7.360728876;0;3.680364438;0;25.76255107;0;22.08218663;7.360728876;3.680364438;3.680364438;0;0;3.680364438;;;;;;;;;;;;;;;;;;;;
3352;313;0.047842677;1994.876105;1032.880014;388.8489464;141.767845;12.15152957;297.7124746;12.15152957;6.075764787;0;0;54.68188308;0;30.37882393;0;0;0;6.075764787;12.15152957;6.075764787;;;;;;;;;;;;;;;;;;;;
3394;315;0.047895501;2072.263549;1377.258236;363.4431456;114.7715197;0;133.9001063;6.376195537;6.376195537;19.12858661;0;19.12858661;0;19.12858661;12.75239107;0;6.376195537;0;0;0;;;;;;;;;;;;;;;;;;;;
3422;317;0.047960942;2355.107579;1554.212409;396.4827574;237.8896544;7.929655148;95.15586178;0;15.8593103;0;0;15.8593103;0;15.8593103;0;0;15.8593103;0;7.929655148;7.929655148;;;;;;;;;;;;;;;;;;;;
3448;319;0.048011364;1453.391947;695.4320333;379.7424919;158.6073058;0;137.2563224;18.30084298;0;27.45126447;0;13.72563224;0;13.72563224;0;0;18.30084298;0;4.575210746;4.575210746;;;;;;;;;;;;;;;;;;;;
3482;321;0.04807422;1878.150508;842.6942333;465.6994447;237.1143693;0;204.7030526;56.29333947;0;0;5.117576316;15.35272895;0;25.58788158;5.117576316;0;10.23515263;5.117576316;10.23515263;10.23515263;;;;;;;;;;;;;;;;;;;;
3523;323;0.048135782;1783.153348;1147.300216;342.1166307;143.412527;0;108.8552916;25.91792657;0;0;0;0;0;5.183585313;0;5.183585313;5.183585313;0;5.183585313;0;;;;;;;;;;;;;;;;;;;;
3558;325;0.048196089;1658.523383;740.9752759;454.0444244;108.7814767;4.72962942;231.7518416;37.83703536;0;4.72962942;4.72962942;28.37777652;0;42.56666478;0;0;4.72962942;4.72962942;0;0;;;;;;;;;;;;;;;;;;;;
3593;327;0.04825518;1634.187668;860.7931005;435.343637;90.69659104;0;178.0951242;4.947086784;0;0;0;19.78834714;0;34.62960749;0;4.947086784;4.947086784;4.947086784;0;4.947086784;;;;;;;;;;;;;;;;;;;;
3631;329;0.04831309;2310.778764;914.8705807;735.0434395;121.3833203;6.743517794;411.3545854;60.69166014;0;13.48703559;0;20.23055338;0;0;6.743517794;0;6.743517794;20.23055338;20.23055338;0;;;;;;;;;;;;;;;;;;;;
3669;331;0.048382785;1936.881451;828.825701;624.943443;183.9372545;6.6483345;232.6917075;0;6.6483345;0;0;26.593338;0;13.296669;6.6483345;0;6.6483345;0;0;6.6483345;;;;;;;;;;;;;;;;;;;;
3713;333;0.048451152;2075.938439;1035.976956;627.5629638;125.5125928;0;179.3037039;29.88395066;0;5.976790132;0;17.93037039;0;29.88395066;0;0;11.95358026;0;17.93037039;5.976790132;;;;;;;;;;;;;;;;;;;;
3794;337;0.048584048;2094.913463;1106.512156;602.9869612;124.3272085;6.216360425;174.0580919;37.29816255;0;6.216360425;0;6.216360425;0;24.8654417;0;6.216360425;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3870;341;0.048736923;2256.584073;1271.603323;484.5286367;247.9512742;0;143.3112869;34.12173498;0;6.824346995;0;34.12173498;0;27.29738798;0;6.824346995;6.824346995;0;0;0;;;;;;;;;;;;;;;;;;;;
3955;345;0.04889669;1923.539465;765.2383062;814.6085195;127.223242;0;113.9312615;39.87594152;0;0;0;5.696563074;0;22.78625229;17.08968922;17.08968922;0;5.696563074;0;0;;;;;;;;;;;;;;;;;;;;
4015;349;0.049063116;1857.372989;946.7192421;524.7529514;131.6390565;0;113.6063091;59.50806665;0;0;0;21.63929696;0;32.45894544;10.81964848;5.409824241;0;0;10.81964848;0;;;;;;;;;;;;;;;;;;;;
