Age;Depth (cm);Sedimentation rate (0.5 cm);nbr_yr
2916.6;142.5;0.043859649;11.4
2928;143;0.046296296;10.8
2938.8;143.5;0.037313433;13.4
2952.2;144;0.046296296;10.8
2963;144.5;0.042016807;11.9
2974.9;145;0.04950495;10.1
2985;145.5;0.047619048;10.5
2995.5;146;0.050505051;9.9
3005.4;146.5;0.042016807;11.9
3017.3;147;0.049019608;10.2
3027.5;147.5;0.048543689;10.3
3037.8;148;0.046296296;10.8
3048.6;148.5;0.045454545;11
3059.6;149;0.043478261;11.5
3071.1;149.5;0.043859649;11.4
3082.5;150;0.043478261;11.5
3094;150.5;0.049019608;10.2
3104.2;151;0.04587156;10.9
3115.1;151.5;0.043103448;11.6
3126.7;152;0.046728972;10.7
3137.4;152.5;0.044642857;11.2
3148.6;153;0.049019608;10.2
3158.8;153.5;0.046296296;10.8
3169.6;154;0.047619048;10.5
3180.1;154.5;0.043859649;11.4
3191.5;155;0.055555556;9
3200.5;155.5;0.052083333;9.6
3210.1;156;0.054945055;9.1
3219.2;156.5;0.053763441;9.3
3228.5;157;0.044247788;11.3
3239.8;157.5;0.047619048;10.5
3250.3;158;0.048543689;10.3
3260.6;158.5;0.04950495;10.1
3270.7;159;0.050505051;9.9
3280.6;159.5;0.05;10
3290.6;160;0.0625;8
3298.6;160.5;0.051020408;9.8
3308.4;161;0.04950495;10.1
3318.5;161.5;0.04587156;10.9
3329.4;162;0.045454545;11
3340.4;162.5;0.044642857;11.2
3351.6;163;0.047619048;10.5
3362.1;163.5;0.046728972;10.7
3372.8;164;0.045045045;11.1
3383.9;164.5;0.052083333;9.6
3393.5;165;0.060240964;8.3
3401.8;165.5;0.068493151;7.3
3409.1;166;0.075757576;6.6
3415.7;166.5;0.078125;6.4
3422.1;167;0.075757576;6.6
3428.7;167.5;0.074626866;6.7
3435.4;168;0.080645161;6.2
3441.6;168.5;0.076923077;6.5
3448.1;169;0.076923077;6.5
3454.6;169.5;0.073529412;6.8
3461.4;170;0.048543689;10.3
3471.7;170.5;0.048076923;10.4
3482.1;171;0.046728972;10.7
3492.8;171.5;0.049019608;10.2
3503;172;0.052083333;9.6
3512.6;172.5;0.05;10
3522.6;173;0.055555556;9
3531.6;173.5;0.052083333;9.6
3541.2;174;0.058823529;8.5
3549.7;174.5;0.061728395;8.1
3557.8;175;0.058823529;8.5
3566.3;175.5;0.060240964;8.3
3574.6;176;0.053763441;9.3
3583.9;176.5;0.052631579;9.5
3593.4;177;0.054347826;9.2
3602.6;177.5;0.051020408;9.8
3612.4;178;0.052631579;9.5
3621.9;178.5;0.054945055;9.1
3631;179;0.054945055;9.1
3640.1;179.5;0.060240964;8.3
3648.4;180;0.048076923;10.4
3658.8;180.5;0.050505051;9.9
3668.7;181;0.046296296;10.8
3679.5;181.5;0.047619048;10.5
3690;182;0.044642857;11.2
3701.2;182.5;0.043859649;11.4
3712.6;183;0.043103448;11.6
3724.2;183.5;0.04950495;10.1
3734.3;184;0.04950495;10.1
3744.4;184.5;0.053191489;9.4
3753.8;185;0.04950495;10.1
3763.9;185.5;0.052631579;9.5
3773.4;186;0.047169811;10.6
3784;186.5;0.049019608;10.2
3794.2;187;0.05;10
3804.2;187.5;0.052083333;9.6
3813.8;188;0.05;10
3823.8;188.5;0.051020408;9.8
3833.6;189;0.051546392;9.7
3843.3;189.5;0.051546392;9.7
3853;190;0.056179775;8.9
3861.9;190.5;0.058823529;8.5
3870.4;191;0.053191489;9.4
3879.8;191.5;0.05;10
3889.8;192;0.046296296;10.8
3900.6;192.5;0.041666667;12
3912.6;193;0.044247788;11.3
3923.9;193.5;0.04587156;10.9
3934.8;194;0.047619048;10.5
3945.3;194.5;0.04950495;10.1
3955.4;195;0.065789474;7.6
3963;195.5;0.069444444;7.2
3970.2;196;0.065789474;7.6
3977.8;196.5;0.068493151;7.3
3985.1;197;0.066666667;7.5
3992.6;197.5;0.069444444;7.2
3999.8;198;0.065789474;7.6
4007.4;198.5;0.063291139;7.9
4015.3;199;0.05952381;8.4
4023.7;199.5;0.055555556;9
4032.7;200;0.057471264;8.7
4041.4;200.5;0.051546392;9.7
4051.1;201;0.056179775;8.9
4060;201.5;0.053763441;9.3
4069.3;202;0.06097561;8.2
4077.5;202.5;0.058823529;8.5
4086;203;0.063291139;7.9
4093.9;203.5;0.058139535;8.6
4102.5;204;0.067567568;7.4
4109.9;204.5;0.065789474;7.6
4117.5;205;0.06097561;8.2
4125.7;205.5;0.065789474;7.6
4133.3;206;0.064102564;7.8
4141.1;206.5;0.067567568;7.4
4148.5;207;0.067567568;7.4
4155.9;207.5;0.076923077;6.5
4162.4;208;0.083333333;6
4168.4;208.5;0.080645161;6.2
4174.6;209;0.080645161;6.2
4180.8;209.5;0.081967213;6.1
4186.9;210;0.065789474;7.6
4194.5;210.5;0.064102564;7.8
4202.3;211;0.05952381;8.4
4210.7;211.5;0.061728395;8.1
4218.8;212;0.06097561;8.2
4227;212.5;0.060240964;8.3
4235.3;213;0.064102564;7.8
4243.1;213.5;0.064935065;7.7
4250.8;214;0.071428571;7
4257.8;214.5;0.071428571;7
4264.8;215;0.060240964;8.3
4273.1;215.5;0.056179775;8.9
4282;216;0.056818182;8.8
4290.8;216.5;0.064102564;7.8
4298.6;217;0.0625;8
4306.6;217.5;0.06097561;8.2
4314.8;218;0.063291139;7.9
4322.7;218.5;0.071428571;7
4329.7;219;0.065789474;7.6
4337.3;219.5;0.076923077;6.5
4343.8;220;0.0625;8
4351.8;220.5;0.065789474;7.6
4359.4;221;0.060240964;8.3
4367.7;221.5;0.065789474;7.6
4375.3;222;0.058139535;8.6
4383.9;222.5;0.0625;8
4391.9;223;0.063291139;7.9
4399.8;223.5;0.064102564;7.8
4407.6;224;0.060240964;8.3
4415.9;224.5;0.073529412;6.8
4422.7;225;0.064935065;7.7
4430.4;225.5;0.058139535;8.6
4439;226;0.064935065;7.7
4446.7;226.5;0.061728395;8.1
4454.8;227;0.054347826;9.2
4464;227.5;0.063291139;7.9
4471.9;228;0.055555556;9
4480.9;228.5;0.056818182;8.8
4489.7;229;0.064102564;7.8
4497.5;229.5;0.056818182;8.8
4506.3;230;0.065789474;7.6
4513.9;230.5;0.058139535;8.6
4522.5;231;0.061728395;8.1
4530.6;231.5;0.06097561;8.2
4538.8;232;0.066666667;7.5
4546.3;232.5;0.056818182;8.8
4555.1;233;0.051546392;9.7
4564.8;233.5;0.058139535;8.6
4573.4;234;0.060240964;8.3
4581.7;234.5;0.058823529;8.5
4590.2;235;0.063291139;7.9
4598.1;235.5;0.05952381;8.4
4606.5;236;0.066666667;7.5
4614;236.5;0.05952381;8.4
4622.4;237;0.055555556;9
4631.4;237.5;0.065789474;7.6
4639;238;0.058823529;8.5
4647.5;238.5;0.058823529;8.5
4656;239;0.060240964;8.3
4664.3;239.5;0.060240964;8.3
4672.6;240;0.070422535;7.1
4679.7;240.5;0.064102564;7.8
4687.5;241;0.078125;6.4
4693.9;241.5;0.064935065;7.7
4701.6;242;0.067567568;7.4
4709;242.5;0.057471264;8.7
4717.7;243;0.069444444;7.2
4724.9;243.5;0.063291139;7.9
4732.8;244;0.06097561;8.2
4741;244.5;0.069444444;7.2
4748.2;245;0.0625;8
4756.2;245.5;0.0625;8
4764.2;246;0.060240964;8.3
4772.5;246.5;0.054945055;9.1
4781.6;247;0.061728395;8.1
4789.7;247.5;0.058139535;8.6
4798.3;248;0.060240964;8.3
4806.6;248.5;0.066666667;7.5
4814.1;249;0.0625;8
4822.1;249.5;0.067567568;7.4
4829.5;250;0.067567568;7.4
4836.9;250.5;0.053763441;9.3
4846.2;251;0.064935065;7.7
4853.9;251.5;0.058823529;8.5
4862.4;252;0.058139535;8.6
4871;252.5;0.05952381;8.4
4879.4;253;0.061728395;8.1
4887.5;253.5;0.068493151;7.3
4894.8;254;0.069444444;7.2
4902;254.5;0.058139535;8.6
4910.6;255;0.05952381;8.4
4919;255.5;0.057471264;8.7
4927.7;256;0.058823529;8.5
4936.2;256.5;0.056818182;8.8
4945;257;0.056179775;8.9
4953.9;257.5;0.0625;8
4961.9;258;0.058823529;8.5
4970.4;258.5;0.065789474;7.6
4978;259;0.060240964;8.3
4986.3;259.5;0.066666667;7.5
4993.8;260;0.05952381;8.4
5002.2;260.5;0.066666667;7.5
5009.7;261;0.064935065;7.7
5017.4;261.5;0.067567568;7.4
5024.8;262;0.061728395;8.1
5032.9;262.5;0.069444444;7.2
5040.1;263;0.070422535;7.1
5047.2;263.5;0.065789474;7.6
5054.8;264;0.06097561;8.2
5063;264.5;0.079365079;6.3
5069.3;265;0.065789474;7.6
5076.9;265.5;0.066666667;7.5
5084.4;266;0.071428571;7
5091.4;266.5;0.058139535;8.6
5100;267;0.065789474;7.6
5107.6;267.5;0.061728395;8.1
5115.7;268;0.0625;8
5123.7;268.5;0.060240964;8.3
5132;269;0.0625;8
5140;269.5;0.064935065;7.7
5147.7;270;0.064935065;7.7
5155.4;270.5;0.064935065;7.7
5163.1;271;0.055555556;9
5172.1;271.5;0.063291139;7.9
5180;272;0.0625;8
5188;272.5;0.061728395;8.1
5196.1;273;0.061728395;8.1
5204.2;273.5;0.061728395;8.1
5212.3;274;0.063291139;7.9
5220.2;274.5;0.058823529;8.5
5228.7;275;0.064935065;7.7
5236.4;275.5;0.066666667;7.5
5243.9;276;0.070422535;7.1
5251;276.5;0.063291139;7.9
5258.9;277;0.068493151;7.3
5266.2;277.5;0.061728395;8.1
5274.3;278;0.065789474;7.6
5281.9;278.5;0.061728395;8.1
5290;279;0.0625;8
5298;279.5;0.064102564;7.8
5305.8;280;0.058823529;8.5
5314.3;280.5;0.068493151;7.3
5321.6;281;0.056818182;8.8
5330.4;281.5;0.055555556;9
5339.4;282;0.057471264;8.7
5348.1;282.5;0.053763441;9.3
5357.4;283;0.056818182;8.8
5366.2;283.5;0.05952381;8.4
5374.6;284;0.069444444;7.2
5381.8;284.5;0.060240964;8.3
5390.1;285;0.064935065;7.7
5397.8;285.5;0.063291139;7.9
5405.7;286;0.06097561;8.2
5413.9;286.5;0.064102564;7.8
5421.7;287;0.064102564;7.8
5429.5;287.5;0.061728395;8.1
5437.6;288;0.054945055;9.1
5446.7;288.5;0.058139535;8.6
5455.3;289;0.053763441;9.3
5464.6;289.5;0.058823529;8.5
5473.1;290;0.073529412;6.8
5479.9;290.5;0.069444444;7.2
5487.1;291;0.075757576;6.6
5493.7;291.5;0.073529412;6.8
5500.5;292;0.064102564;7.8
5508.3;292.5;0.058139535;8.6
5516.9;293;0.053763441;9.3
5526.2;293.5;0.054945055;9.1
5535.3;294;0.058139535;8.6
5543.9;294.5;0.055555556;9
5552.9;295;0.046728972;10.7
5563.6;295.5;0.044642857;11.2
5574.8;296;0.045045045;11.1
5585.9;296.5;0.044642857;11.2
5597.1;297;0.04950495;10.1
5607.2;297.5;0.051020408;9.8
5617;298;0.053763441;9.3
5626.3;298.5;0.065789474;7.6
5633.9;299;0.063291139;7.9
5641.8;299.5;0.064935065;7.7
5649.5;300;0.04;12.5
5662;300.5;0.037037037;13.5
5675.5;301;0.042372881;11.8
5687.3;301.5;0.045045045;11.1
5698.4;302;0.044247788;11.3
5709.7;302.5;0.046296296;10.8
5720.5;303;0.043859649;11.4
5731.9;303.5;0.047619048;10.5
5742.4;304;0.049019608;10.2
5752.6;304.5;0.046728972;10.7
5763.3;305;0.034013605;14.7
5778;305.5;0.038167939;13.1
5791.1;306;0.037878788;13.2
5804.3;306.5;0.037878788;13.2
5817.5;307;0.037593985;13.3
5830.8;307.5;0.035460993;14.1
5844.9;308;0.037593985;13.3
5858.2;308.5;0.03968254;12.6
5870.8;309;0.037878788;13.2
5884;309.5;0.040322581;12.4
5896.4;310;0.041322314;12.1
5908.5;310.5;0.037593985;13.3
5921.8;311;0.03875969;12.9
5934.7;311.5;0.038461538;13
5947.7;312;0.037037037;13.5
5961.2;312.5;0.036764706;13.6
5974.8;313;0.042016807;11.9
5986.7;313.5;0.040650407;12.3
5999;314;0.040983607;12.2
6011.2;314.5;0.0390625;12.8
6024;315;0.043859649;11.4
6035.4;315.5;0.040983607;12.2
6047.6;316;0.04;12.5
6060.1;316.5;0.039370079;12.7
6072.8;317;0.040983607;12.2
6085;317.5;0.03875969;12.9
6097.9;318;0.042735043;11.7
6109.6;318.5;0.040983607;12.2
6121.8;319;0.042735043;11.7
6133.5;319.5;0.03875969;12.9
6146.4;320;0.035971223;13.9
6160.3;320.5;0.03164557;15.8
6176.1;321;0.032679739;15.3
6191.4;321.5;0.029761905;16.8
6208.2;322;0.034246575;14.6
6222.8;322.5;0.033333333;15
6237.8;323;0.035971223;13.9
6251.7;323.5;0.037313433;13.4
6265.1;324;0.035971223;13.9
6279;324.5;0.03875969;12.9
6291.9;325;0.035714286;14
6305.9;325.5;0.044247788;11.3
6317.2;326;0.041322314;12.1
6329.3;326.5;0.037037037;13.5
6342.8;327;0.043859649;11.4
6354.2;327.5;0.044247788;11.3
6365.5;328;0.039370079;12.7
6378.2;328.5;0.040650407;12.3
6390.5;329;0.042735043;11.7
6402.2;329.5;0.041666667;12
6414.2;330;0.038167939;13.1
6427.3;330.5;0.037313433;13.4
6440.7;331;0.03649635;13.7
6454.4;331.5;0.031055901;16.1
6470.5;332;0.033783784;14.8
6485.3;332.5;0.036764706;13.6
6498.9;333;0.037313433;13.4
6512.3;333.5;0.033112583;15.1
6527.4;334;0.036764706;13.6
6541;334.5;0.042016807;11.9
6552.9;335;0.038461538;13
6565.9;335.5;0.037878788;13.2
6579.1;336;0.034965035;14.3
6593.4;336.5;0.036764706;13.6
6607;337;0.035211268;14.2
6621.2;337.5;0.039370079;12.7
6633.9;338;0.030487805;16.4
6650.3;338.5;0.032679739;15.3
6665.6;339;0.032258065;15.5
6681.1;339.5;0.033112583;15.1
6696.2;340;0.035460993;14.1
6710.3;340.5;0.028735632;17.4
6727.7;341;0.029069767;17.2
6744.9;341.5;0.033783784;14.8
6759.7;342;0.033333333;15
6774.7;342.5;0.034246575;14.6
6789.3;343;0.034965035;14.3
6803.6;343.5;0.032467532;15.4
6819;344;0.03649635;13.7
6832.7;344.5;0.036764706;13.6
6846.3;345;0.035971223;13.9
6860.2;345.5;0.03875969;12.9
6873.1;346;0.034246575;14.6
6887.7;346.5;0.034013605;14.7
6902.4;347;0.034013605;14.7
6917.1;347.5;0.031055901;16.1
6933.2;348;0.035211268;14.2
6947.4;348.5;0.03968254;12.6
6960;349;0.035211268;14.2
6974.2;349.5;0.038167939;13.1
6987.3;350;0.044247788;11.3
6998.6;350.5;0.037878788;13.2
7011.8;351;0.041666667;12
7023.8;351.5;0.040983607;12.2
7036;352;0.037037037;13.5
7049.5;352.5;0.035460993;14.1
7063.6;353;0.039370079;12.7
7076.3;353.5;0.039370079;12.7
7089;354;0.038461538;13
7102;354.5;0.0390625;12.8
7114.8;355;0.038461538;13
7127.8;355.5;0.043859649;11.4
7139.2;356;0.041666667;12
7151.2;356.5;0.040650407;12.3
7163.5;357;0.03968254;12.6
7176.1;357.5;0.042735043;11.7
7187.8;358;0.0390625;12.8
7200.6;358.5;0.035211268;14.2
7214.8;359;0.04;12.5
7227.3;359.5;0.036231884;13.8
7241.1;360;0.042016807;11.9
7253;360.5;0.050505051;9.9
7262.9;361;0.037313433;13.4
7276.3;361.5;0.043859649;11.4
7287.7;362;0.040650407;12.3
7300;362.5;0.037878788;13.2
7313.2;363;0.040322581;12.4
7325.6;363.5;0.033112583;15.1
7340.7;364;0.04587156;10.9
7351.6;364.5;0.038167939;13.1
7364.7;365;0.040983607;12.2
7376.9;365.5;0.0390625;12.8
7389.7;366;0.037313433;13.4
7403.1;366.5;0.036231884;13.8
7416.9;367;0.034965035;14.3
7431.2;367.5;0.035460993;14.1
7445.3;368;0.03125;16
7461.3;368.5;0.031847134;15.7
7477;369;0.034246575;14.6
7491.6;369.5;0.033333333;15
7506.6;370;0.042016807;11.9
7518.5;370.5;0.04;12.5
7531;371;0.04;12.5
7543.5;371.5;0.040650407;12.3
7555.8;372;0.038461538;13
7568.8;372.5;0.037593985;13.3
7582.1;373;0.042372881;11.8
7593.9;373.5;0.033557047;14.9
7608.8;374;0.037878788;13.2
7622;374.5;0.0390625;12.8
7634.8;375;0.040983607;12.2
7647;375.5;0.040322581;12.4
7659.4;376;0.0390625;12.8
7672.2;376.5;0.036764706;13.6
7685.8;377;0.039370079;12.7
7698.5;377.5;0.033783784;14.8
7713.3;378;0.032894737;15.2
7728.5;378.5;0.035714286;14
7742.5;379;0.035460993;14.1
7756.6;379.5;0.037878788;13.2
7769.8;380;0.048543689;10.3
7780.1;380.5;0.049019608;10.2
7790.3;381;0.05;10
7800.3;381.5;0.052083333;9.6
7809.9;382;0.051546392;9.7
7819.6;382.5;0.051020408;9.8
7829.4;383;0.047619048;10.5
