Age;Temp;sup;inf
9275;4.2042;5.692364444;2.854417222
9300;3.2278;4.637473201;1.959902786
9325;3.2383;4.663581957;1.95838835
9350;3.776;5.266990714;2.433773913
9375;3.7508;5.253999471;2.399959477
9400;4.4544;6.039108227;3.025445041
9425;3.2616;4.747316984;1.935230605
9450;2.6107;4.048925741;1.335216169
9475;3.2974;4.815634497;1.945501733
9500;4.4903;6.136643254;3.013687296
9525;5.1546;6.879277585;3.603296934
9550;5.023;6.750211916;3.472806571
9575;4.5449;6.241646246;3.028816208
9600;4.8585;6.600180577;3.301125845
9625;4.9957;6.765514908;3.413835482
9650;3.8519;5.527849239;2.36754512
9675;5.2596;7.08468357;3.629754757
9700;5.4157;7.270717901;3.759564394
9725;5.1308;6.973752231;3.490374031
9750;5.0685;6.920586562;3.422583668
9775;4.5253;6.340720893;2.919693305
9800;4.6184;6.457755224;2.992502943
9825;4.8628;6.740389555;3.20211258
9850;3.7358;5.521123886;2.171022217
9875;1.7331;3.342758216;0.347631854
9900;3.6847;5.495292547;2.101941491
9925;4.7102;6.633526878;3.018351129
9950;5.2989;7.293361209;3.539560766
9975;6.6961;8.83869554;4.792270403
10000;7.1861;9.390429871;5.22418004
10025;6.8879;9.062284941;4.955498697
10050;5.7014;7.761240012;3.883117353
10075;5.8106;7.879295083;3.98303601
10100;4.391;6.322950154;2.699754667
10125;5.3486;7.370205225;3.567273323
10150;5.5481;7.587160296;3.74889198
10175;5.1785;7.180815366;3.415610637
10200;5.0294;7.015970437;3.281829293
10225;4.9391;6.915525508;3.20124795
10250;4.6766;6.626480579;2.964866607
10275;4.5737;6.51223565;2.872885263
10300;5.735;7.782590721;3.92470392
10325;3.8975;5.768545791;2.263322577
10350;3.3914;5.212700862;1.806541233
10375;4.9286;6.894755933;3.19845989
10400;5.6237;7.654511004;3.828478547
10425;4.5779;6.507566075;2.883397203
10450;5.861;7.911321146;4.04541586
10475;5.6804;7.711976216;3.883134517
10500;5.651;7.678231287;3.857653173
10525;5.7243;7.767490071;3.917080408
10550;4.9428;6.920648854;3.203207642
10575;5.0455;7.042107637;3.289234876
10600;5.2006;7.221066421;3.42276211
10625;4.6963;6.677825204;2.959689344
10650;3.3647;5.228383987;1.748016578
10675;4.1057;6.049042771;2.411643813
10700;4.179;6.138301554;2.471071047
10725;3.8406;5.776760337;2.158098281
10750;4.4767;6.482419121;2.726725515
10775;5.1505;7.229477904;3.329552749
10800;4.1486;6.141136687;2.416179983
10825;4.5011;6.536295471;2.728307218
10850;4.3056;6.331154254;2.544534452
10875;3.795;5.781013037;2.075761686
10900;3.7023;5.688571821;1.98508892
10925;3.0595;4.993530604;1.396616154
10950;2.2234;4.086889387;0.633343388
10975;2.3849;4.272748171;0.772570623
11000;3.2582;5.238306954;1.555897857
11025;3.7748;5.824293326;2.008057992
11050;3.7307;5.796179697;1.952918126
11075;3.6089;5.682966069;1.827478261
11100;3.6026;5.696252441;1.806538396
11125;3.5984;5.711838812;1.787498531
11150;3.0651;5.147825184;1.289658666
11175;3.1512;5.262311556;1.352318801
11200;3.0252;5.144497927;1.223078935
11225;3.2373;5.396984299;1.39973907
11250;3.4305;5.628770671;1.559299205
11275;3.3801;5.593757042;1.49845934
11300;2.7186;4.889443414;0.884719475
11325;2.874;5.079829786;1.01007961
11350;3.5712;5.863616157;1.625639744
11375;2.7732;5.009802529;0.888399879
11400;2.1243;4.319288901;0.286060014
11425;2.4477;4.693675272;0.563420149
11450;2.4771;4.746061644;0.574780284
11475;2.5128;4.805348016;0.591840419
11500;2.622;4.945134387;0.675400553
11525;2.968;5.348532671;0.969955612
11550;2.9151;5.314930956;0.903510671
11575;2.6836;5.08582924;0.67556573
11600;2.4374;4.840627524;0.434320789
11625;1.7943;4.160725808;-0.166024152
11650;1.7077;4.090324092;-0.262869094
11675;0.6783;2.987222376;-1.212814035
11700;-3.3815;-1.434779339;-4.904458976
11725;-10.0831;-8.750181055;-10.98630392
11750;-16.9254;-16.21968277;-17.19544886
11775;-19.0784;-18.55328449;-19.1618938
11800;-17.4409;-16.7353862;-17.69883874
11825;-15.3665;-14.43908792;-15.84058368
11850;-13.8613;-12.76608963;-14.49722862
11875;-13.5405;-12.39029135;-14.22547356
11900;-13.1693;-11.95929307;-13.90811851
11925;-13.1173;-11.87789478;-13.87956345
11950;-13.1912;-11.9344965;-13.96500839
11975;-13.2589;-11.98419821;-14.04475333
12000;-11.844;-10.41009993;-12.78309827
